,Artist,Genres,Followers,Popularity
131,A Perfect Circle,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",1321619,66
132,A R I Z O N A,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']",356680,68
133,A Rocket In Dub,['dusseldorf electronic'],0,14
134,A Rocket To The Moon,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']",358317,57
135,A Skylit Drive,"['metalcore', 'pixie', 'post-screamo', 'screamo']",231251,50
136,A Taste Of Honey,"['boogie', 'disco', 'funk', 'post-disco']",102853,59
137,A Touch Of Class,"['bubblegum dance', 'europop']",2170866,82
138,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",1430905,71
139,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",2914061,78
140,A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",1691649,67
141,A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']",8995287,85
142,A*Teens,"['bubblegum dance', 'dance pop', 'europop']",132842,51
143,A-Mei Chang,"['c-pop', 'mandopop']",2253614,74
144,A-Trak,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",1004212,68
145,A. Jaziukevičius,['lithuanian folk'],0,0
146,A. L. Lloyd,"['broadway', 'show tunes', 'west end']",1844,28
147,A. M. Rajah,"['deep indian pop', 'filmi']",12972,35
148,A. R. Qureshi,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']",9189463,72
149,A.C. Chill,['dirty texas rap'],209518,64
150,A.R. Kane,"['dream pop', 'shoegaze']",10368,33
151,A.R. Rahman,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",11497105,77
152,A.r.d.i.,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'uplifting trance']",8956,36
153,A7S,['scandipop'],134963,83
154,AAA,"['japanese alternative rock', 'japanese electropop', 'japanese r&b']",84387,62
155,AB6IX,"['k-pop', 'k-pop boy group']",416516,57
156,ABBA,"['europop', 'swedish pop']",5534178,81
157,ABC,"['""preschool children\'s music""']",1112917,71
158,ABRA,"['indie cafe pop', 'indie pop', 'pop']",5226503,78
159,ABSRDST,['future bass'],17030,42
160,AC/DC,"['album rock', 'australian rock', 'hard rock', 'rock']",18609728,85
161,ACOT,['meme rap'],33353761,89
162,ADIN,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",259168,51
163,AFI,"['emo', 'pop punk', 'punk', 'screamo', 'skate punk']",690579,65
164,AJ Mitchell,"['electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",566961,72
165,AJ Rafael,"['opm', 'viral pop']",121905,57
166,AJJ,"['acoustic punk', 'anti-folk', 'folk punk']",175839,60
167,AJR,['modern rock'],1740806,82
168,AJZ,['serbian hip hop'],27192042,95
169,AKLO,['j-rap'],75438,67
170,AL!AS,"['melodic metalcore', 'metalcore', 'trancecore', 'uk metalcore']",1191075,74
